list_name	hotspot	mapping	call_type	check_score	source	comment
CancerDrivers	ABCC4	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	ABL1	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	ABL2	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	ACKR3	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	ACSL3	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	ACSL6	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	ACSM3	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	ACVR1	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	ACVR1B	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	ACVR2A	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	AFDN	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	AFF1	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	AJUBA	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	AKAP9	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	AKT1	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	AKT3	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	ALDH2	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	ALK	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	ALPK1	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	AMER1	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	ANK1	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	ANKRD11	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	APC	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	AR	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	ARAF	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	ARHGAP35	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	ARHGAP5	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	ARHGEF10	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	ARHGEF10L	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	ARHGEF12	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	ARID1A	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	ARID1B	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	ARID2	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	ARNT	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	ASXL1	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	ASXL2	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	ATF7IP	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	ATG7	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	ATM	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	ATP1A1	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	ATR	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
CancerDrivers	ATRX	gene_name	any		www.intogen.org; Release 2023.05.31; https://doi.org/10.1038/s41568-020-0290-x	
