list_name	hotspot	mapping	call_type	check_score	source	comment
StemCell-Hotspots	BCOR	gene_name	any		StemCNV-check curation; doi.org/10.1038/s41588-022-01147-3	
StemCell-Hotspots	OGG1	gene_name	any		StemCNV-check curation; doi.org/10.1038/s41588-022-01147-3	
StemCell-Hotspots	DNMT3A	gene_name	any		StemCNV-check curation; doi.org/10.1038/s41588-022-01147-3	
StemCell-Hotspots	TET2	gene_name	any		StemCNV-check curation; doi.org/10.1038/s41588-022-01147-3	
StemCell-Hotspots	ASXL1	gene_name	any		StemCNV-check curation; doi.org/10.1038/s41588-022-01147-3	
StemCell-Hotspots	JAK2	gene_name	any		StemCNV-check curation; doi.org/10.1038/s41588-022-01147-3	
StemCell-Hotspots	TP53	gene_name	any		StemCNV-check curation; doi.org/10.1038/s41588-022-01147-3	
StemCell-Hotspots	18q21	gband	loss		StemCNV-check curation; ISCCR guidelines 2023	
StemCell-Hotspots	1q32	gband	gain		StemCNV-check curation; ISCCR guidelines 2023	
StemCell-Hotspots	12p13.3	gband	gain		StemCNV-check curation; ISCCR guidelines 2023\n doi.org/10.1038/ncomms5825 \n https://doi.org/10.1101/2021.05.22.445238	
StemCell-Hotspots	17q25	gband	gain		StemCNV-check curation; ISCCR guidelines 2023\n doi.org/10.1016/j.devcel.2021.07.019 \n doi.org/10.1016/j.celrep.2014.12.050	
StemCell-Hotspots	20q11	gband	gain		StemCNV-check curation; ISCCR guidelines 2023\n doi.org/10.1016/j.stemcr.2013.10.005 \n doi.org/10.1093/molehr/gat077 \n doi.org/10.1186/1471-2407-6-116 \n doi.org/10.1016/j.stemcr.2019.05.005 \n doi.org/10.1038/nbt.1516	
