list_name	hotspot	mapping	call_type	check_score	general_comment	citation_comment	citation	doi
StemCNV-check curated stem cell aberrations	1p36.13	gband	gain	10	Important genes in this region: CROCC		Närvä et al. 2010	10.1038/nbt.1617
StemCNV-check curated stem cell aberrations	1p36.33	gband	gain	10	Important genes in this region: OR4F5		Närvä et al. 2010	10.1038/nbt.1617
StemCNV-check curated stem cell aberrations	1p31	gband	loss	10	Important genes in this region: ITGB3BP; ROR1; EFCAB7		Kanchan 2020	10.1016/j.scr.2020.101803
StemCNV-check curated stem cell aberrations	1q21.3	gband	gain	10	Important genes in this region: LCE3C		Tosca et al. 2015	10.1186/s13039-015-0133-8
StemCNV-check curated stem cell aberrations	1q21.3	gband	gain	10	Important genes in this region: LCE3C		Wu et al 2008	10.1634/stemcells.2007-0993
StemCNV-check curated stem cell aberrations	1q21.3	gband	gain	10	Important genes in this region: LCE3C	general Chr.1q reference	Amps et al. 2012	10.1038/nbt.2051
StemCNV-check curated stem cell aberrations	1q21.3	gband	gain	10	Important genes in this region: LCE3C	general Chr.1q reference	Assou et al 2020	10.1016/j.stemcr.2019.12.004
StemCNV-check curated stem cell aberrations	1q25	gband	gain	3			Baker et al. 2016	10.1016/j.stemcr.2016.10.003
StemCNV-check curated stem cell aberrations	1q25	gband	gain	3		general Chr.1q reference	Amps et al. 2012	10.1038/nbt.2051
StemCNV-check curated stem cell aberrations	1q25	gband	gain	3		general Chr.1q reference	Assou et al 2020	10.1016/j.stemcr.2019.12.004
StemCNV-check curated stem cell aberrations	1q31	gband	gain	3			Baker et al. 2016	10.1016/j.stemcr.2016.10.003
StemCNV-check curated stem cell aberrations	1q31	gband	gain	3		general Chr.1q reference	Amps et al. 2012	10.1038/nbt.2051
StemCNV-check curated stem cell aberrations	1q31	gband	gain	3		general Chr.1q reference	Assou et al 2020	10.1016/j.stemcr.2019.12.004
StemCNV-check curated stem cell aberrations	1q31.3	gband	loss	10	Important genes in this region: FOXD3		Kanchan 2020	10.1016/j.scr.2020.101803
StemCNV-check curated stem cell aberrations	1q31.3	gband	loss	10	Important genes in this region: FOXD3	general Chr.1q reference	Amps et al. 2012	10.1038/nbt.2051
StemCNV-check curated stem cell aberrations	1q31.3	gband	loss	10	Important genes in this region: FOXD3	general Chr.1q reference	Assou et al 2020	10.1016/j.stemcr.2019.12.004
StemCNV-check curated stem cell aberrations	1q32	gband	gain	3			Baker et al. 2016	10.1016/j.stemcr.2016.10.003
StemCNV-check curated stem cell aberrations	1q32	gband	gain	3		general Chr.1q reference	Amps et al. 2012	10.1038/nbt.2051
StemCNV-check curated stem cell aberrations	1q32	gband	gain	3		general Chr.1q reference	Assou et al 2020	10.1016/j.stemcr.2019.12.004
StemCNV-check curated stem cell aberrations	1q41	gband	gain	3			Baker et al. 2016	10.1016/j.stemcr.2016.10.003
StemCNV-check curated stem cell aberrations	1q41	gband	gain	3		general Chr.1q reference	Amps et al. 2012	10.1038/nbt.2051
StemCNV-check curated stem cell aberrations	1q41	gband	gain	3		general Chr.1q reference	Assou et al 2020	10.1016/j.stemcr.2019.12.004
StemCNV-check curated stem cell aberrations	2p11.2	gband	gain	10	Important genes in this region: IGKV1-5; IGKV4-1; IGKV2-24; IGKC		Martins Taylor et al. 2011	10.1038/nbt.1890
StemCNV-check curated stem cell aberrations	2p11.2	gband	gain	10	Important genes in this region: IGKV1-5; IGKV4-1; IGKV2-24; IGKC		Närvä et al. 2010	10.1038/nbt.1617
StemCNV-check curated stem cell aberrations	3p14.2	gband	loss	10	Important genes in this region: FHIT		Kanchan 2020	10.1016/j.scr.2020.101803
StemCNV-check curated stem cell aberrations	3p14.2	gband	loss	10	Important genes in this region: FHIT	general Chr.3 reference	Assou et al 2020	10.1016/j.stemcr.2019.12.004
StemCNV-check curated stem cell aberrations	3p13	gband	loss	10	Important genes in this region: EIF4E3		Salomonis 2016	10.1016/j.stemcr.2016.05.006
StemCNV-check curated stem cell aberrations	3p13	gband	loss	10	Important genes in this region: EIF4E3	general Chr.3 reference	Assou et al 2020	10.1016/j.stemcr.2019.12.004
StemCNV-check curated stem cell aberrations	4p16.3	gband	loss	10	Important genes in this region: FAM53A		Tosca et al. 2015	10.1186/s13039-015-0133-8
StemCNV-check curated stem cell aberrations	4q13.2	gband	loss	10			Wu et al 2008	10.1634/stemcells.2007-0993
StemCNV-check curated stem cell aberrations	4q35.1	gband	loss	10	Important genes in this region: ING2		Salomonis 2016	10.1016/j.stemcr.2016.05.006
StemCNV-check curated stem cell aberrations	6p21.32	gband	gain	10	Important genes in this region: HLA-DRB5		Tosca et al. 2015	10.1186/s13039-015-0133-8
StemCNV-check curated stem cell aberrations	6p21.32	gband	loss	10	Important genes in this region: HLA-DRB5		Tosca et al. 2015	10.1186/s13039-015-0133-8
StemCNV-check curated stem cell aberrations	6p21.32	gband	loss	10	Important genes in this region: HLA-DRB5		Wu et al 2008	10.1634/stemcells.2007-0993
StemCNV-check curated stem cell aberrations	6q21	gband	gain	10	Important genes in this region: FYN		Salomonis 2016	10.1016/j.stemcr.2016.05.006
StemCNV-check curated stem cell aberrations	7q21.11	gband	gain	10	Important genes in this region: SEAM3E		Kang et al. 2015	10.1371/journal.pone.0131128
StemCNV-check curated stem cell aberrations	7q21.11	gband	gain	10	Important genes in this region: SEAM3E	general Chr.7 reference	Assou et al 2020	10.1016/j.stemcr.2019.12.004
StemCNV-check curated stem cell aberrations	7q31.32	gband	gain	10	Important genes in this region: CADPS2		Kang et al. 2015	10.1371/journal.pone.0131128
StemCNV-check curated stem cell aberrations	7q31.32	gband	gain	10	Important genes in this region: CADPS2	general Chr.7 reference	Assou et al 2020	10.1016/j.stemcr.2019.12.004
StemCNV-check curated stem cell aberrations	7q34	gband	loss	10	Important genes in this region: MGAM		Wu et al 2008	10.1634/stemcells.2007-0993
StemCNV-check curated stem cell aberrations	7q34	gband	loss	10	Important genes in this region: MGAM	general Chr.7 reference	Assou et al 2020	10.1016/j.stemcr.2019.12.004
StemCNV-check curated stem cell aberrations	7q35	gband	gain	10	Important genes in this region: AP4M1; OR2A5		Närvä et al. 2010	10.1038/nbt.1617
StemCNV-check curated stem cell aberrations	7q35	gband	gain	10	Important genes in this region: AP4M1; OR2A5	general Chr.7 reference	Assou et al 2020	10.1016/j.stemcr.2019.12.004
StemCNV-check curated stem cell aberrations	11q11	gband	loss	10	Important genes in this region: OR4C11; OR4P4; OR4S2		Tosca et al. 2015	10.1186/s13039-015-0133-8
StemCNV-check curated stem cell aberrations	14q22.1	gband	gain	10	Important genes in this region: NIN		Salomonis 2016	10.1016/j.stemcr.2016.05.006
StemCNV-check curated stem cell aberrations	14q22.1	gband	gain	10	Important genes in this region: NIN	general Chr.14 reference	Assou et al 2020	10.1016/j.stemcr.2019.12.004
StemCNV-check curated stem cell aberrations	14q23.2	gband	gain	10	Important genes in this region: KCNH5; RHOJ3; GPHB5		Tosca et al. 2015	10.1186/s13039-015-0133-8
StemCNV-check curated stem cell aberrations	14q23.2	gband	gain	10	Important genes in this region: KCNH5; RHOJ3; GPHB5	general Chr.14 reference	Assou et al 2020	10.1016/j.stemcr.2019.12.004
StemCNV-check curated stem cell aberrations	14q23.3	gband	gain	10	Important genes in this region: FUT8		Tosca et al. 2015	10.1186/s13039-015-0133-8
StemCNV-check curated stem cell aberrations	14q23.3	gband	gain	10	Important genes in this region: FUT8	general Chr.14 reference	Assou et al 2020	10.1016/j.stemcr.2019.12.004
StemCNV-check curated stem cell aberrations	14q32.32	gband	gain	10	Important genes in this region: IGHM; IGHD; IGHV3-23; IGHG3; IGHV4-31		Närvä et al. 2010	10.1038/nbt.1617
StemCNV-check curated stem cell aberrations	14q32.32	gband	gain	10	Important genes in this region: IGHM; IGHD; IGHV3-23; IGHG3; IGHV4-31	general Chr.14 reference	Assou et al 2020	10.1016/j.stemcr.2019.12.004
StemCNV-check curated stem cell aberrations	14q32.33	gband	gain	10	Important genes in this region: JAG2		Yamamoto et al. 2022	10.1093/stcltm/szac014
StemCNV-check curated stem cell aberrations	14q32.33	gband	gain	10	Important genes in this region: JAG2	general Chr.14 reference	Assou et al 2020	10.1016/j.stemcr.2019.12.004
StemCNV-check curated stem cell aberrations	15q11.2	gband	gain	10	Important genes in this region: OR4M2; OR4N4; LOC650137; LOC283755; A26B1		Närvä et al. 2010	10.1038/nbt.1617
StemCNV-check curated stem cell aberrations	15q11.2	gband	gain	10	Important genes in this region: OR4M2; OR4N4; LOC650137; LOC283755; A26B1		Tosca et al. 2015	10.1186/s13039-015-0133-8
StemCNV-check curated stem cell aberrations	15q11.2	gband	gain	10	Important genes in this region: OR4M2; OR4N4; LOC650137; LOC283755; A26B1	general Chr.15 reference	Assou et al 2020	10.1016/j.stemcr.2019.12.004
StemCNV-check curated stem cell aberrations	15q11.2	gband	loss	10	Important genes in this region: OR4M2; OR4N4; LOC650137; LOC283755; A26B1		Närvä et al. 2010	10.1038/nbt.1617
StemCNV-check curated stem cell aberrations	15q11.2	gband	loss	10	Important genes in this region: OR4M2; OR4N4; LOC650137; LOC283755; A26B1		Tosca et al. 2015	10.1186/s13039-015-0133-8
StemCNV-check curated stem cell aberrations	15q11.2	gband	loss	10	Important genes in this region: OR4M2; OR4N4; LOC650137; LOC283755; A26B1	general Chr.15 reference	Assou et al 2020	10.1016/j.stemcr.2019.12.004
StemCNV-check curated stem cell aberrations	17q12	gband	gain	10	Important genes in this region: HER2		Yamamoto et al. 2022	10.1093/stcltm/szac014
StemCNV-check curated stem cell aberrations	17q12	gband	gain	10	Important genes in this region: HER2	general Chr.17 reference	Assou et al 2020	10.1016/j.stemcr.2019.12.004
StemCNV-check curated stem cell aberrations	17q12	gband	gain	10	Important genes in this region: HER2	general Chr.17 reference	Merkle et al 2017	10.1016/j.stem.2022.01.011
StemCNV-check curated stem cell aberrations	17q12	gband	gain	10	Important genes in this region: HER2	general Chr.17q reference	Kilpinen et al. 2017	10.1038/nature22403
StemCNV-check curated stem cell aberrations	17q21.1	gband	loss	10	Important genes in this region: CASC3		Martins-Taylor et al. 2011	10.1038/nbt.1890
StemCNV-check curated stem cell aberrations	17q21.1	gband	loss	10	Important genes in this region: CASC3	general Chr.17q21-qter reference	Amps et al. 2012	10.1038/nbt.2051
StemCNV-check curated stem cell aberrations	17q21.1	gband	loss	10	Important genes in this region: CASC3	general Chr.17 reference	Assou et al 2020	10.1016/j.stemcr.2019.12.004
